date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:40:05	53584/53584	---M-Z	200	added ('OK')	text/html	etag:%22b8e2465-d150-5d2a80bed6800-gzip%22	https://codervent.com/syndash/demo/vertical/index.html	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/index.html	(from )
08:40:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:40:12%20GMT	https://codervent.com/robots.txt		(from )
08:40:05	2238/2238	---M--	200	added ('OK')	image/png	etag:%22b8e2301-8be-5b5303e6de380%22	https://codervent.com/syndash/demo/vertical/assets/images/favicon-32x32.png	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/images/favicon-32x32.png	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:06	6727/6727	---M-Z	200	added ('OK')	text/css	etag:%22b8e2427-1a47-5b43eb67a6580-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:06	4125/4125	---M-Z	200	added ('OK')	text/css	etag:%22b8e241e-101d-5b43eb61ed800-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/simplebar/css/simplebar.css	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:07	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22b8e2413-a9a-5b43eb6005380-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:08	1929/1929	---M-Z	200	added ('OK')	text/css	etag:%22b8e23f2-789-5b43eb3f98700-gzip%22	https://codervent.com/syndash/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:08	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22b8e207d-882-5b4fa8878e000-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/pace.min.css	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/css/pace.min.css	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:08	12364/12364	---M-Z	200	added ('OK')	application/javascript	etag:%22b8e2389-304c-5b43ea4f45000-gzip%22	https://codervent.com/syndash/demo/vertical/assets/js/pace.min.js	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/js/pace.min.js	(from https://codervent.com/syndash/demo/vertical/index.html)
08:40:11	189392/189392	---M-Z	200	added ('OK')	text/css	etag:%22b8e2079-2e3d0-5d2a88ac41c00-gzip%22	https://codervent.com/syndash/demo/vertical/assets/css/bootstrap.min.css	C:/Templateadmin/admin/codervent.com/syndash/demo/vertical/assets/css/bootstrap.min.css	(from https://codervent.com/syndash/demo/vertical/index.html)
