date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:09:00	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62c83a09-a3e8704ae7119b8a;gz%22	https://demo.epic-webdesign.com/robots.txt		(from )
08:09:00	57929/57929	---M-Z	200	added ('OK')	text/html	etag:%22e249-63826a5b-67df9b1aaa49d1c1;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/index.html	(from )
08:09:00	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-638270f2-c6d06855043bd58;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/css/bootstrap.min.css	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/css/bootstrap.min.css	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:00	34861/34861	---M-Z	200	added ('OK')	text/css	etag:%22882d-638270f2-21b938c0abe7f408;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/css/style.css	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/css/style.css	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:00	60462/60462	---M-Z	200	added ('OK')	text/css	etag:%22ec2e-638270f1-dd20e3631e20a1a4;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/css/animate.css	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/css/animate.css	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:01	8161/8161	---M-Z	200	added ('OK')	text/css	etag:%221fe1-638270f2-55f5370ae41b259a;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/css/style-magnific-popup.css	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/css/style-magnific-popup.css	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:01	53592/53592	---M-Z	200	added ('OK')	text/css	etag:%22d158-638270f0-72e10ac615260dbb;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/css/all.min.css	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/css/all.min.css	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:01	1406/1406	---M-Z	200	added ('OK')	image/x-icon	etag:%2257e-638270f8-29fca066d6dea872;gz%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/favicon.ico	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/favicon.ico	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:02	77446/77446	---M--	200	added ('OK')	image/jpeg	etag:%2212e86-63827109-227c3e7ca99a98e4;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/website-development.jpg	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/website-development.jpg	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:02	205418/205418	---M--	200	added ('OK')	image/png	etag:%223226a-638270fd-c5b34c8e4808193d;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/main-service1.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/main-service1.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:02	172985/172985	---M--	200	added ('OK')	image/png	etag:%222a3b9-638270fe-1f22c8e47fcf5945;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/main-service2.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/main-service2.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:04	112423/112423	---M--	200	added ('OK')	image/png	etag:%221b727-638270f9-7f59f18453f945fa;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/img10.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/img10.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:04	34965/34965	---M--	200	added ('OK')	image/jpeg	etag:%228895-638270fa-6d19e097258c26a6;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/img2.jpg	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/img2.jpg	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:04	188651/188651	---M--	200	added ('OK')	image/png	etag:%222e0eb-638270fe-5bd1162f18aaf9a5;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/main-service3.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/main-service3.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:04	48423/48423	---M--	200	added ('OK')	image/jpeg	etag:%22bd27-63827106-2ab0b498766385ab;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/testimonials-woman.jpg	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/testimonials-woman.jpg	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:04	10805/10805	---M--	200	added ('OK')	image/png	etag:%222a35-638270f5-7c988b0f047c96f3;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/award4a.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/award4a.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:05	13237/13237	---M--	200	added ('OK')	image/png	etag:%2233b5-638270f5-aa8deb3207c830d4;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/award1a.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/award1a.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
08:09:05	23083/23083	---M--	200	added ('OK')	image/png	etag:%225a2b-638270f6-a58a336d82893475;;;%22	https://demo.epic-webdesign.com/tf-essentials/v1/images/award5.png	C:/Users/lenovo/Documents/landing/demo.epic-webdesign.com/tf-essentials/v1/images/award5.png	(from https://demo.epic-webdesign.com/tf-essentials/v1/)
