date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:36	84305/84305	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:02%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html	(from )
09:41:37	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jan%202023%2002:41:35%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/robots.txt		(from )
09:41:38	4138/4138	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6791-102a%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:40	50327/50327	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6790-c497%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:42	750666/750666	---MCZ	200	added ('OK')	text/css	etag:W/%22614c678f-b744a%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:42	2025/2025	---M--	200	added ('OK')	image/png	etag:%22614da0e8-7e9%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:42	4991/4991	---M--	200	added ('OK')	image/png	etag:%2261452c10-137f%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:42	3932/3932	---M--	200	added ('OK')	image/png	etag:%2261452c16-f5c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:43	1884/1884	---M--	200	added ('OK')	image/png	etag:%22614d9f25-75c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:43	7364/7364	---M--	200	added ('OK')	image/png	etag:%22614c6e0c-1cc4%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:47	140160/140160	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:54%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/mailbox.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/mailbox.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:48	61633/61633	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:42%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extra_calendar.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extra_calendar.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:55	82710/82710	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:12%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/contact_app_chat.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/contact_app_chat.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:55	78870/78870	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:56:56%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_cards.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_cards.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:56	68375/68375	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:58:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_advanced.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_advanced.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:56	66055/66055	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:31%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_basic.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_basic.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:57	72765/72765	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:41:56%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_color.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_color.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:57	69087/69087	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:29%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_group.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_group.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:58	70328/70328	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:03%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_grid.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_grid.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:58	68482/68482	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:59%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_badges.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_badges.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:59	62236/62236	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:59%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_border_utilities.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_border_utilities.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:41:59	109789/109789	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:03%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_buttons.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_buttons.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:00	67448/67448	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:07%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_color_utilities.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_color_utilities.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:00	67817/67817	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:35%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:00	75583/75583	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:00%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown_grid.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown_grid.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:01	77967/77967	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_progress_bars.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_progress_bars.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:02	183510/183510	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_fontawesome.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_fontawesome.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:03	97544/97544	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:02%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_glyphicons.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_glyphicons.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:04	241634/241634	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_material.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_material.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:05	93026/93026	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_themify.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_themify.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:05	112839/112839	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_simpleline.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_simpleline.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:06	117052/117052	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:49%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_cryptocoins.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_cryptocoins.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:06	80910/80910	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:46%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_flag.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_flag.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:07	86062/86062	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:52%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_weather.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_weather.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:07	65739/65739	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_ribbons.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_ribbons.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:14	71746/71746	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:04%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:15	96608/96608	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2010:02:58%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_tab.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_tab.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:15	85813/85813	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:02%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_typography.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_typography.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:15	79191/79191	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:37%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:15	68158/68158	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline_horizontal.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_timeline_horizontal.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:16	66776/66776	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:09%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_bootstrap_switch.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_bootstrap_switch.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:16	59470/59470	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:33%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_date_paginator.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_date_paginator.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:17	66453/66453	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:10%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_media_advanced.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_media_advanced.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:17	62327/62327	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:37%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rangeslider.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rangeslider.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:18	62815/62815	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:56:58%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rating.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_rating.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:20	90550/90550	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:34%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_animations.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/component_animations.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:42:21	59139/59139	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:00%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extension_fullscreen.html	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extension_fullscreen.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:43:59	325960/325960	---M--	200	added ('OK')	image/jpeg	etag:%225e167e7e-4f948%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/img1.jpg	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/img1.jpg	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html)
09:44:21	420570/420570	---M--	200	added ('OK')	image/jpeg	etag:%225e167e6a-66ada%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/img3.jpg	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/img3.jpg	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html)
09:44:34	513620/513620	---M--	200	added ('OK')	image/jpeg	etag:%225e167e74-7d654%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/img2.jpg	C:/Users/lenovo/Documents/template/edulearn-lms-admin-template.multipurposethemes.com/images/img2.jpg	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html)
