date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:22	84305/84305	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:02%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html	(from )
09:59:23	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jan%202023%2002:59:23%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/robots.txt		(from )
09:59:24	4138/4138	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6791-102a%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/vendors_css.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:26	50327/50327	---MCZ	200	added ('OK')	text/css	etag:W/%22614c6790-c497%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/skin_color.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:28	4991/4991	---M--	200	added ('OK')	image/png	etag:%2261452c10-137f%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:28	750666/750666	---MCZ	200	added ('OK')	text/css	etag:W/%22614c678f-b744a%22	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/src/css/style.css	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:28	3932/3932	---M--	200	added ('OK')	image/png	etag:%2261452c16-f5c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/images/logo-letter-white.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:28	2025/2025	---M--	200	added ('OK')	image/png	etag:%22614da0e8-7e9%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/images/logo-dark-text.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:29	1884/1884	---M--	200	added ('OK')	image/png	etag:%22614d9f25-75c%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/images/logo-light-text.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:29	7364/7364	---M--	200	added ('OK')	image/png	etag:%22614c6e0c-1cc4%22	http://edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/images/avatar/avatar-13.png	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:29	140160/140160	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:54%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/mailbox.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/mailbox.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:30	61633/61633	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:42%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extra_calendar.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/extra_calendar.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:31	82710/82710	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:12%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/contact_app_chat.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/contact_app_chat.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:32	78870/78870	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:56:56%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_cards.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_cards.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:34	68375/68375	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:58:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_advanced.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_advanced.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:34	66055/66055	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:31%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_basic.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_basic.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:34	72765/72765	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:41:56%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_color.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_color.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:35	69087/69087	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:29%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_group.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/box_group.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:35	70328/70328	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:03%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_grid.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_grid.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:36	68482/68482	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:59%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_badges.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_badges.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:36	62236/62236	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:59%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_border_utilities.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_border_utilities.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:37	109789/109789	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:03%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_buttons.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_buttons.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:37	67448/67448	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:07%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_color_utilities.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_color_utilities.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:38	67817/67817	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:42:35%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:38	75583/75583	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:00%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown_grid.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_dropdown_grid.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:39	77967/77967	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_progress_bars.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_progress_bars.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:40	183510/183510	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:47%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_fontawesome.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_fontawesome.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:40	97544/97544	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:02%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_glyphicons.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_glyphicons.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:42	241634/241634	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_material.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_material.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:42	93026/93026	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_themify.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_themify.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:42	112839/112839	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_simpleline.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_simpleline.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:43	117052/117052	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:49%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_cryptocoins.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_cryptocoins.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:44	80910/80910	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:46%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_flag.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_flag.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:44	86062/86062	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:52%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_weather.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_weather.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:44	65739/65739	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_ribbons.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_ribbons.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:45	71746/71746	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:04%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
09:59:45	85813/85813	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:02%20GMT	http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_typography.html	C:/templateeco/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_typography.html	(from http://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
